,Date,Open,Close,High,Low,Volume
458,2020-07-09,385.05,382.73,385.27,378.69,31410652
459,2020-07-10,381.34,383.68,383.92,378.82,22564330
460,2020-07-13,389.06,381.91,399.82,381.03,47912285
461,2020-07-14,379.36,388.23,389.02,375.51,42747341
462,2020-07-15,395.96,390.9,396.99,385.96,38299483
463,2020-07-16,386.25,386.09,389.62,383.62,27644418
464,2020-07-17,387.95,385.31,388.59,383.36,23046725
465,2020-07-20,385.67,393.43,394.0,384.25,22579477
466,2020-07-21,396.69,388.0,397.0,386.97,25911459
467,2020-07-22,386.77,389.09,391.9,386.41,22250413
468,2020-07-23,387.99,371.38,388.31,368.04,49251108
469,2020-07-24,363.95,370.46,371.88,356.58,46359716
470,2020-07-27,374.84,379.24,379.62,373.92,30303548
471,2020-07-28,377.47,373.01,378.2,372.99,25906375
472,2020-07-29,375.0,380.16,380.92,374.85,22582314
473,2020-07-30,376.75,384.76,385.19,375.07,39532505
474,2020-07-31,411.54,425.04,425.66,403.3,93573867
